id_code,study_type,nature_x,total_sample_size,sample_size_control,sample_size_treatment,statistic,value,effect_type,plant_specie,pesticide_effect
C0120,field,continuous,12,6,6,r,0.481352262,community,Cajanus cajan,consequences
C0135,field,continuous,15,2,13,F,4.58,community,Vaccinium corymbosum,consequences
C0135,field,continuous,15,2,13,F,4.12,community,Vaccinium corymbosum,consequences
C0135,field,continuous,15,2,13,F,1.16,community,Vaccinium corymbosum,consequences
C0135,field,continuous,15,2,13,F,7.76,community,Vaccinium corymbosum,consequences
C0135,field,continuous,15,2,13,F,10.08,community,Vaccinium corymbosum,consequences
C0135,field,continuous,15,2,13,F,1.95,community,Vaccinium corymbosum,consequences
C0135,field,continuous,15,2,13,F,1.83,community,Vaccinium corymbosum,consequences
C0135,field,continuous,15,2,13,F,5.06,community,Vaccinium corymbosum,consequences
C0135,field,continuous,15,2,13,F,2.79,community,Vaccinium corymbosum,consequences
C0135,field,continuous,15,2,13,r,0.574456265,community,Vaccinium corymbosum,consequences
C0135,field,continuous,15,2,13,r,0.538516481,community,Vaccinium corymbosum,consequences
C0135,field,continuous,15,2,13,r,0.529150262,community,Vaccinium corymbosum,consequences
C0143,field,continuous,22,9,13,t,3.19,pollination,Citrullus lanatus,sub_lethal
