id_code,ai,bi,ci,di,n1i,n2i,bee_specie,exposure_type,agrochemical,hours_after_exposure ,yi,vi
C0069,0,80,20,60,80,80,melipona_scutellaris,orally,pyraclostrobin,360,-3.999185886,2.077731774
C0069,0,80,10,70,80,80,melipona_scutellaris,orally,pyraclostrobin,456,-3.177166912,2.121844853
C0069,0,80,5,75,80,80,melipona_scutellaris,orally,pyraclostrobin,552,-2.462019801,2.207485575
C0084,31,29,60,0,60,60,tetragonisca_fiebrigi,orally,acetamiprid,48,-4.730193263,2.082173262
C0084,49,11,60,0,60,60,plebeia_emerina,topically,acetamiprid,48,-3.336164911,2.123687468
C0084,26,34,60,0,60,60,tetragonisca_fiebrigi,topically,acetamiprid,48,-5.059605137,2.083250282
C0093,0,15,10,5,15,15,melipona_quadrifasciata,orally,imidacloroprid,960,-4.080614369,2.341572406
C0093,0,15,10,5,15,15,melipona_quadrifasciata,orally,imidacloroprid,960,-4.080614369,2.341572406
C0191,27,3,30,0,30,30,scaptotrigona_xanthotrica,topically,azadirachtin,24,-2.049450828,2.354864807
C0191,26,4,30,0,30,30,scaptotrigona_xanthotrica,topically,chlorantraniliprole,24,-2.337806528,2.292744957
C0191,25,5,30,0,30,30,partamona_helleri,orally,chlorantraniliprole,24,-2.576943504,2.253820753
C0191,27,3,30,0,30,30,scaptotrigona_xanthotrica,orally,azadirachtin,24,-2.049450828,2.354864807
